Index,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,yr_built,zipcode,clusters,cluster
51,345000,5,2.5,3150,9134,1,1966,98056,0,blush
52,600000,3,1.75,1410,4080,1,1950,98117,3,purple
53,585000,2,1.75,1980,8550,1,1981,98117,3,purple
54,920000,5,2.25,2730,6000,1.5,1927,98105,2,mauve
55,885000,4,2.5,2830,5000,2,1995,98105,2,mauve
56,292500,4,2.5,2250,4495,2,2008,98042,0,blush
57,301000,3,2.5,2420,4750,2,2003,98042,0,blush
58,951000,5,3.25,3250,14342,2,1968,98008,2,mauve
59,430000,4,3,1850,9976,2,1991,98059,3,purple
60,650000,3,2.25,2150,21235,1,1959,98166,3,purple
61,289000,3,1.75,1260,8400,1,1954,98148,0,blush
62,505000,3,1.75,2519,8690,2,1973,98166,3,purple
63,549000,3,1.75,1540,1044,3,2014,98115,3,purple
64,425000,3,2.25,1660,6000,1,1979,98122,3,purple
65,317625,3,2.75,2770,3809,1.5,1925,98144,0,blush
66,975000,4,2.5,2720,11049,2,1989,98004,2,mauve
67,287000,4,2.5,2240,4648,2,2005,98001,0,blush
68,204000,3,1,1000,12070,1,1968,98042,0,blush
69,1325000,5,2.25,3200,20158,1,1965,98004,1,pink
70,1040000,5,3.25,4770,50094,1,1973,98005,2,mauve
71,325000,3,2,1260,5612,1,1972,98034,0,blush
72,571000,4,2,2750,7807,1.5,1916,98125,3,purple
73,360000,4,2.5,2380,5000,2,2005,98038,0,blush
74,349000,3,1.75,1790,50529,1,1965,98042,0,blush
75,832500,4,4,3430,35102,2,1986,98075,2,mauve
76,380000,4,1.75,1760,7300,1,1956,98008,0,blush
77,480000,3,1,1040,5060,1,1941,98116,3,purple
78,410000,3,1,1410,5060,1,1956,98133,3,purple
79,720000,4,2.5,3450,39683,2,2002,98010,2,mauve
80,390000,3,2.5,2350,5100,2,2003,98038,0,blush
81,360000,4,2.5,1900,5889,2,1992,98038,0,blush
82,355000,2,1,2020,6720,1,1948,98118,0,blush
83,356000,3,1.5,1680,8712,1,1964,98059,0,blush
84,315000,3,1,960,6634,1,1952,98125,0,blush
85,940000,3,1.5,2140,3600,2,1925,98119,2,mauve
86,305000,5,2.25,2660,8400,1.5,1961,98092,0,blush
87,461000,3,3.25,2770,6278,2,2006,98056,3,purple
88,215000,2,2.25,1610,2040,2,1979,98056,0,blush
89,335000,2,1.75,1030,1066,2,2006,98136,0,blush
90,243500,4,2.5,1980,7403,2,1988,98023,0,blush
91,1099880,5,2.75,3520,6353,2,2001,98199,2,mauve
92,153000,3,1,1200,10500,1,1962,98023,0,blush
93,430000,3,1.5,1580,5000,1,1939,98117,3,purple
94,700000,3,1.5,1580,5000,1,1939,98117,2,mauve
95,905000,4,2.5,3300,10250,1,1946,98040,2,mauve
96,247500,3,1.75,1960,15681,1,1967,98032,0,blush
97,199000,4,1.5,1160,6400,1,1975,98023,0,blush
98,314000,3,1.75,1810,41800,1,1980,98038,0,blush
99,437500,3,2.5,2320,36847,2,1992,98045,3,purple
100,850830,3,2.5,2070,13241,1.5,1910,98102,2,mauve
101,555000,3,2,1980,3478,1.5,1929,98117,3,purple
102,699950,3,2.25,2190,107593,2,1983,98077,2,mauve
103,1088000,3,2.5,2920,8113,2,1950,98004,2,mauve
104,290000,3,1,1210,33919,1,1954,98058,0,blush
105,375000,3,2.5,2340,10005,1,1978,98058,0,blush
106,460000,3,1,1670,4005,1.5,1939,98117,3,purple
107,188500,2,1.75,1240,2493,1,1985,98198,0,blush
108,680000,4,2.5,3140,28037,2,1991,98077,2,mauve
109,470000,5,1.75,2030,12342,2,1942,98052,3,purple
110,597750,4,2.5,2310,9624,2,1984,98027,3,purple
111,570000,3,1.75,1260,3328,1,1905,98103,3,purple
112,272500,3,1.75,1540,12600,1,1980,98038,0,blush
113,329950,3,1.75,2080,5969,1,1971,98108,0,blush
114,480000,4,2.5,3230,16171,2,2001,98001,3,purple
115,740500,3,3.5,4380,6350,2,1900,98117,2,mauve
116,518500,3,3.5,1590,1102,3,2010,98103,3,purple
117,205425,2,1,880,6780,1,1945,98178,0,blush
118,171800,4,2,1570,9600,1,1950,98168,0,blush
119,535000,4,1,1610,2982,1.5,1925,98144,3,purple
120,660000,3,2.5,2400,6474,1,1964,98177,3,purple
121,391500,3,2,1450,9132,1,1987,98034,0,blush
122,395000,2,1,770,6000,1,1953,98117,0,blush
123,445000,4,1.75,2100,4400,1.5,1924,98118,3,purple
124,770000,3,2.25,2910,10204,2,1990,98052,2,mauve
125,1450000,4,2.75,2750,17789,1.5,1914,98004,1,pink
126,445000,3,2.25,2100,8201,1,1967,98178,3,purple
127,260000,4,2.25,2160,8811,1,1978,98023,0,blush
128,822500,5,3.5,2320,4960,2,1926,98103,2,mauve
129,430000,4,2.5,2070,4310,2,2004,98065,3,purple
130,212000,3,1.75,1060,7875,1,1986,98092,0,blush
131,660500,4,2.25,2010,9603,1,1986,98027,3,purple
132,784000,3,3.5,3950,111078,1.5,1989,98052,2,mauve
133,453246,3,2.5,2010,2287,2,2014,98029,3,purple
134,675000,4,3.5,2140,2278,3,2005,98107,2,mauve
135,199000,3,1.75,1320,17390,1,1956,98003,0,blush
136,220000,4,1.75,2020,7840,1,1968,98003,0,blush
137,452000,4,2.25,2590,10002,1,1968,98028,3,purple
138,382500,2,1,1190,4440,1,1981,98125,0,blush
139,519950,3,2.25,1170,1249,3,2014,98107,3,purple
140,665000,2,1,1110,3200,1,1925,98119,3,purple
141,527700,5,2.5,2820,9375,1,1968,98006,3,purple
142,205000,3,1,1610,8579,1,1962,98058,0,blush
143,420000,3,1,1060,8097,1,1923,98133,3,purple
144,500000,4,2.25,2030,8517,1,1961,98006,3,purple
145,921500,4,2.5,3670,315374,2,1994,98077,2,mauve
146,890000,4,1,2550,4000,2,1905,98109,2,mauve
147,430000,2,2.5,2420,60984,2,2007,98027,3,purple
148,258000,5,2,2260,12500,1,1960,98032,0,blush
149,511000,3,1,1430,3455,1,1947,98103,3,purple
150,532170,3,2,1360,3090,2,1990,98103,3,purple
151,560000,3,1,1110,5000,1.5,1947,98107,3,purple
152,282950,3,1,1250,8200,1,1954,98003,0,blush
153,2250000,4,3.25,5180,19850,2,2006,98006,4,dark purple
154,350000,1,1,700,5100,1,1942,98115,0,blush
155,215000,3,1,1180,7669,1,1967,98058,0,blush
156,650000,5,3.5,3960,25245,2,1996,98056,3,purple
157,320000,4,2.75,2640,7500,1,1967,98023,0,blush
158,247000,3,2,1270,7198,1.5,1916,98022,0,blush
159,320000,4,1.75,1760,11180,1,1968,98059,0,blush
160,255000,5,2.25,2060,8632,1,1962,98146,0,blush
161,438000,3,1.75,1780,9660,1,1962,98034,3,purple
162,900000,3,2.5,3400,16603,2,2000,98075,2,mauve
163,441000,3,2.75,1910,7280,1,1979,98034,3,purple
164,420000,3,2,2020,38332,1,1975,98027,3,purple
165,370000,3,1.75,1580,7000,1,1976,98034,0,blush
166,269950,2,1.75,1340,7250,1,1949,98198,0,blush
167,807100,4,2.5,2680,4499,2,1999,98006,2,mauve
168,653000,3,2.5,2680,9750,1,1979,98034,3,purple
169,371500,3,2,1370,8336,1,1964,98133,0,blush
170,284000,3,1.75,1560,21000,1,1954,98166,0,blush
171,272000,3,1.75,2160,7140,1,1978,98023,0,blush
172,313000,3,1.5,1340,7912,1.5,1955,98133,0,blush
173,917500,4,2.5,3880,35003,2,1984,98033,2,mauve
174,673000,4,2.25,2590,8190,2,1980,98006,3,purple
175,425000,3,2.5,1120,1100,2,2008,98122,3,purple
176,399950,5,2.75,1970,5400,1,1986,98144,0,blush
177,385000,3,1,1220,4800,1,1901,98122,0,blush
178,269950,3,1.5,1950,7560,1,1975,98022,0,blush
179,330000,2,1,1350,8220,1,1949,98177,0,blush
180,260000,3,2.5,1670,5797,2,1988,98030,0,blush
181,470000,4,3,2380,5125,1.5,1925,98126,3,purple
182,589000,4,3,2440,9600,2,1961,98034,3,purple
183,163500,2,1.5,1050,3419,2,1996,98038,0,blush
184,835000,4,2.75,3130,13412,2,1993,98052,2,mauve
185,1095000,5,3,4090,12850,1,1986,98033,2,mauve
186,269000,4,1.75,1490,10000,1,1969,98023,0,blush
187,560000,3,2.5,1900,8744,2,1987,98074,3,purple
188,615000,4,1,1330,2400,1.5,1901,98103,3,purple
189,585188,3,2.25,2230,10026,1,1975,98052,3,purple
190,305000,3,1.75,1650,9480,1,1977,98034,0,blush
191,166950,3,1,1190,8820,1,1959,98058,0,blush
192,799000,3,2.5,2140,9897,1,1959,98040,2,mauve
193,400000,3,2.5,2180,7508,1,1962,98133,0,blush
194,230000,3,1,1060,10228,1,1948,98155,0,blush
195,256883,3,2.5,1690,5025,2,2003,98023,0,blush
196,423000,4,2,1970,6480,1.5,1920,98108,3,purple
197,465000,3,2.5,2150,4084,2,2007,98126,3,purple
198,440000,3,2.5,1910,66211,2,1997,98024,3,purple
199,385000,3,1.75,1350,155073,1,1969,98038,0,blush
200,210000,3,1,860,11725,1,1943,98056,0,blush
201,297000,3,2.5,1940,14952,2,1994,98042,0,blush
202,470000,3,1,1010,5000,1,1952,98107,3,purple
203,226500,3,1.5,1300,7370,1,1976,98023,0,blush
204,274250,3,1,910,8450,1,1962,98059,0,blush
205,840000,4,1.75,2480,11010,1,1966,98040,2,mauve
206,677900,3,2.5,2440,4587,2,2010,98052,2,mauve
207,425000,3,1,1010,5864,1,1915,98116,3,purple
208,180250,2,0.75,900,9600,1,1941,98166,0,blush
209,464000,6,3,2300,3404,2,1920,98133,3,purple
210,320000,4,2.25,1550,7579,2,1993,98038,0,blush
211,625504,3,2.25,1270,1566,2,2014,98105,3,purple
212,592500,4,2.5,2240,12032,1,1983,98074,3,purple
213,465000,3,2.5,2714,17936,2,2005,98001,3,purple
214,477000,4,2.75,1720,6270,2,1978,98118,3,purple
215,280000,2,1,850,16400,1,1923,98168,0,blush
216,1505000,5,3,3300,33474,1,1957,98040,1,pink
217,445838,3,2.5,2250,5692,2,2000,98146,3,purple
218,1072000,2,2.25,3900,14864,1,1947,98144,2,mauve
219,467000,2,1.5,1320,10800,1,1947,98177,3,purple
220,686000,4,2.5,2760,6440,2,1999,98075,2,mauve
221,279950,3,2,1750,9750,1,1961,98198,0,blush
222,527000,4,2.25,2330,19436,2,1987,98011,3,purple
223,325000,3,2.25,2220,16020,1,1966,98030,0,blush
224,328000,3,2.25,2020,8379,2,1994,98038,0,blush
225,390000,3,2.25,1250,7500,1,1942,98146,0,blush
226,479950,2,2,1510,6516,1,2005,98053,3,purple
227,264950,4,2.25,1720,9753,1,1978,98023,0,blush
228,235000,3,1,1430,15246,1,1961,98031,0,blush
229,516500,3,2.5,1480,4729,2,2004,98053,3,purple
230,655000,2,1.75,1450,15798,2,1915,98166,3,purple
231,500000,4,2.75,2280,15347,1,1960,98059,3,purple
232,315000,6,2.75,2940,7350,1,1978,98023,0,blush
233,213000,2,1,1000,10200,1,1961,98024,0,blush
234,475000,3,1.5,2480,5280,1.5,1947,98108,3,purple
235,1025000,5,4,3760,28040,2,1983,98033,2,mauve
236,416000,3,2,2220,94300,1,1976,98010,3,purple
237,410000,4,1,1970,4740,1.5,1904,98122,3,purple
238,800000,3,3.5,3830,221284,2,1993,98077,2,mauve
239,472000,6,2.5,4410,14034,1,1965,98003,3,purple
240,225000,3,1.75,1430,8505,1,1968,98003,0,blush
241,210000,2,1,830,6000,1,1940,98126,0,blush
242,455000,2,1,1430,5000,1.5,1925,98115,3,purple
243,225000,3,1,1300,8316,1,1954,98002,0,blush
244,480000,2,1,1030,3060,1,1918,98103,3,purple
245,363000,3,2.5,2740,11872,2,1990,98023,0,blush
246,2400000,4,2.5,3650,8354,1,2000,98074,4,dark purple
247,181000,2,1.5,720,5120,1,1954,98106,0,blush
248,250000,4,2,2010,7312,1,1976,98002,0,blush
249,481000,3,1.75,1560,3000,1,1918,98103,3,purple
250,260000,3,2,1810,7209,1,1978,98032,0,blush
251,455000,4,2.5,3360,7685,2,2001,98058,3,purple
252,415000,3,2.25,1510,36224,2,1991,98045,3,purple
253,349500,3,1,1400,3538,1,1953,98118,0,blush
254,245000,3,2.5,1730,7442,2,1987,98030,0,blush
255,592500,2,2,1420,9191,1.5,1928,98115,3,purple
256,385000,4,1.75,2360,7620,1,1955,98106,0,blush
257,315000,3,1.75,1580,11455,1,1974,98059,0,blush
258,255000,3,1,1230,10170,1,1979,98045,0,blush
259,693000,4,2.5,2460,4425,2,2006,98052,2,mauve
260,780000,3,1,1660,4400,1.5,1911,98112,2,mauve
261,237000,3,1.75,1270,8470,1,1960,98198,0,blush
262,525000,3,2.25,2100,40510,2,1979,98074,3,purple
263,425000,2,1,770,5040,1,1930,98144,3,purple
264,369900,1,0.75,760,10079,1,1936,98070,0,blush
265,290000,4,2.5,1700,7280,2,1988,98031,0,blush
266,285000,3,1,1120,10701,1,1954,98106,0,blush
267,415000,2,1,1070,4500,1,1937,98115,3,purple
268,272500,3,2.5,2070,9900,1,1979,98023,0,blush
269,2900000,4,3.25,5050,20100,1.5,1982,98004,4,dark purple
270,1365000,4,4.75,5310,57346,2,1989,98077,1,pink
271,436000,2,1,1040,7538,1,1939,98133,3,purple
272,210000,3,1,1700,11390,1,1967,98003,0,blush
273,236000,3,1,1300,5898,1,1961,98178,0,blush
274,331000,3,1.75,1080,1306,1,1954,98199,0,blush
275,365000,3,2.5,2653,4510,2,2006,98031,0,blush
276,450000,3,2,2290,16258,1,1960,98058,3,purple
277,770000,4,2.75,3820,26300,2,2014,98028,2,mauve
278,455000,4,2.5,2210,49375,1,1997,98038,3,purple
279,405000,3,1.75,2390,6000,1,1908,98118,0,blush
280,304900,4,1.75,2600,11325,1,1969,98031,0,blush
281,170000,2,1,860,5265,1,1931,98178,0,blush
282,2050000,5,3,3830,8480,2,1905,98122,1,pink
283,780000,4,2.5,3500,7048,2,2005,98053,2,mauve
284,330000,3,3,2420,13959,1,1988,98028,0,blush
285,370000,4,2.5,2720,8666,2,1992,98030,0,blush
286,467000,5,2.25,2500,13500,1,1979,98072,3,purple
287,405000,3,1.75,1670,6720,1,1980,98034,0,blush
288,675000,5,2.25,2900,10300,1,1985,98006,2,mauve
289,500000,2,1,1640,14100,1,1954,98006,3,purple
290,389999,4,2.5,1890,15770,2,1968,98166,0,blush
291,630000,4,1.75,2950,9025,1,1975,98034,3,purple
292,360000,4,2.5,2160,9528,2,1992,98001,0,blush
293,580000,4,3,3280,11060,2,1986,98056,3,purple
294,550000,3,2,1970,4166,2,1929,98126,3,purple
295,879000,4,2.5,3360,22111,2,1994,98075,2,mauve
296,265000,3,2,1320,8959,1,1993,98042,0,blush
297,446500,3,2.5,2650,7286,2,1990,98059,3,purple
298,404000,3,1.5,2030,8880,1,1963,98108,0,blush
299,267500,3,1.75,1590,11914,1,1957,98188,0,blush
300,3075000,4,5,4550,18641,1,2002,98074,4,dark purple
301,335000,3,2.5,2440,7632,2,1998,98003,0,blush
302,576000,3,2.5,1940,9000,1,1948,98117,3,purple
303,208633,3,2.5,2040,3810,2,2006,98038,0,blush
304,315000,3,2.25,2200,8750,1,1964,98166,0,blush
305,725000,3,1.75,1920,3300,1,1913,98112,2,mauve
306,550000,4,2.75,1800,7750,1,1965,98177,3,purple
307,610750,4,2.25,2180,7297,2,1984,98074,3,purple
308,550700,2,1,1010,5000,1.5,1908,98105,3,purple
309,665000,4,2.75,3320,10574,2,1960,98056,3,purple
310,834000,4,2.5,2370,4000,1.5,1928,98144,2,mauve
311,201000,5,1.75,1660,78408,1.5,1915,98065,0,blush
312,2384000,5,2.5,3650,9050,2,1921,98119,4,dark purple
313,1384000,4,3.25,4290,12103,1,1997,98006,1,pink
314,1400000,4,3.25,4290,12103,1,1997,98006,1,pink
315,305000,4,2.25,1950,7700,1,1979,98058,0,blush
316,487000,3,2,2590,14052,1,1948,98133,3,purple
317,390000,3,2.5,1930,64904,1,1988,98042,0,blush
318,548000,2,1,1470,3864,1,1916,98103,3,purple
319,268750,4,1,800,8775,1,1943,98166,0,blush
320,819900,5,2.75,3150,7119,2,2013,98052,2,mauve
321,520000,3,2.25,2030,16200,2,1984,98027,3,purple
322,230000,3,2,1450,11204,1,2003,98001,0,blush
323,240000,3,1.75,1510,10248,1,1969,98023,0,blush
324,232000,2,1,1240,12092,1,1922,98146,0,blush
325,240500,2,1,1240,12092,1,1922,98146,0,blush
326,274975,3,2.5,3030,45004,2,1987,98077,0,blush
327,740000,4,2,2050,4400,1.5,1922,98102,2,mauve
328,186375,3,1,1000,7636,1,1952,98166,0,blush
329,790000,3,2.25,2370,10289,1,1977,98005,2,mauve
330,880000,4,3.5,2800,6750,2,1951,98105,2,mauve
331,279000,6,1.75,2240,11180,2,1955,98198,0,blush
332,295000,3,2,1810,10530,1,1991,98022,0,blush
333,640000,2,1,1070,5000,1,1924,98103,3,purple
334,940000,4,2,2490,9525,2,1968,98040,2,mauve
335,260000,4,2.5,1960,5238,2,2003,98038,0,blush
336,559900,3,2.75,2930,5569,1,2004,98072,3,purple
337,791500,4,2,1510,3500,1.5,1911,98103,2,mauve
338,265000,3,1.75,1420,8250,1,1954,98133,0,blush
339,245000,3,1.75,1740,11547,1,1954,98178,0,blush
340,485000,4,1.75,2560,43995,2,1962,98052,3,purple
341,684000,4,3.5,3040,8414,2,2010,98059,2,mauve
342,425000,3,1.75,2500,6840,1,1957,98125,3,purple
343,309600,4,1.75,1275,20000,1,1991,98070,0,blush
344,552250,4,2.5,2580,5823,2,2002,98065,3,purple
345,165000,4,1,1000,7134,1,1943,98178,0,blush
346,239900,4,1,1000,7134,1,1943,98178,0,blush
347,320000,2,1,1070,32633,1,1930,98059,0,blush
348,206600,3,2,1390,13464,1,1987,98030,0,blush
349,387000,4,1.75,2500,7690,1,1973,98155,0,blush
350,299000,1,0.75,560,12120,1,1967,98014,0,blush
351,855000,4,2.75,2270,10460,2,1965,98040,2,mauve
352,315000,3,1,1900,14400,1,1954,98166,0,blush
353,437500,2,1,990,3120,1,1907,98103,3,purple
354,252000,4,1.5,1550,19800,1,1969,98001,0,blush
355,375000,4,1.75,2200,7475,1,1955,98118,0,blush
356,300000,4,2.5,1910,4862,2,2005,98038,0,blush
357,420000,4,1,1750,9600,1.5,1954,98006,3,purple
358,900000,3,1,1330,77972,1,1928,98033,2,mauve
359,679900,3,2.5,2440,5750,2,2000,98116,2,mauve
360,463000,3,2.5,1640,29970,2,1992,98053,3,purple
361,380000,5,2.5,2760,11340,2,1978,98059,0,blush
362,329500,4,2.5,1820,7912,2,1994,98038,0,blush
363,604950,3,2.5,2110,5608,1,2013,98033,3,purple
364,795000,5,2.5,3040,9570,1,1966,98006,2,mauve
365,465000,3,2,1840,40438,2,1994,98045,3,purple
366,673000,4,2.5,2990,10400,2,2002,98166,3,purple
367,810000,4,2.5,3520,15420,2,1991,98074,2,mauve
368,785000,4,2.75,2440,69415,1,1989,98075,2,mauve
369,338000,4,3,2090,7500,1,1986,98056,0,blush
370,280000,3,2.25,1430,7222,2,1993,98056,0,blush
371,315000,4,2.25,2180,10754,1,1954,98133,0,blush
372,530000,4,2.25,2180,10754,1,1954,98133,3,purple
373,380000,5,3,3450,9914,2,2004,98023,0,blush
374,297000,3,2.25,1450,7562,2,1994,98056,0,blush
375,730000,4,2.5,3230,7331,2,2004,98075,2,mauve
376,450000,3,1.75,1640,13500,1,1940,98125,3,purple
377,275000,3,3,1590,7750,1,1997,98038,0,blush
378,595000,4,2,2020,2849,2,1960,98115,3,purple
379,435000,3,1.5,1300,3348,1.5,1904,98144,3,purple
380,270000,2,1.5,1380,209959,1,1954,98011,0,blush
381,950000,3,3,4040,14338,2,1986,98077,2,mauve
382,389000,4,2.25,2130,5337,2,2001,98019,0,blush
383,560000,4,2.25,2550,7800,1,1968,98052,3,purple
384,1350000,5,3.5,4800,14984,2,1998,98006,1,pink
385,799000,4,2.25,2510,11585,2,1969,98040,2,mauve
386,365500,3,2,1410,9600,1,1983,98072,0,blush
387,252350,3,2,1650,7352,1,1979,98058,0,blush
388,403950,4,2.5,2120,13780,2,1993,98146,0,blush
389,385000,4,1.5,2040,10726,1,1954,98177,0,blush
390,345000,4,1,1550,7620,1.5,1957,98106,0,blush
391,490000,3,2.75,1980,3128,2,1979,98008,3,purple
392,330000,3,2.5,1600,26977,2,2005,98019,0,blush
393,927000,4,2.75,3300,12090,2,1953,98004,2,mauve
394,1118000,4,2.5,3840,16619,2,1983,98040,2,mauve
395,330000,2,1,1220,10000,1,1950,98028,0,blush
396,530000,5,2.25,2720,8800,1,1958,98008,3,purple
397,365000,4,2,1940,25600,1,1962,98006,0,blush
398,378750,3,2.5,2160,3000,1.5,1909,98118,0,blush
399,269900,4,1.75,1530,8750,1.5,1968,98058,0,blush
400,557000,3,3.5,1710,2096,2,2008,98122,3,purple
401,360000,4,1.75,3730,16980,1,1974,98022,0,blush
402,352000,2,1,940,5000,1,1937,98117,0,blush
403,437000,3,2.5,1750,22357,2,1994,98045,3,purple
404,322500,4,2.5,1820,6753,2,1994,98038,0,blush
405,650000,3,3.25,1510,2000,2,2001,98116,3,purple
406,450000,3,2,1290,1213,3,2001,98103,3,purple
407,278500,3,2,1570,5250,1,1998,98092,0,blush
408,364950,4,2.5,1930,6957,2,1995,98055,0,blush
409,840000,4,3.5,2840,40139,1,1986,98038,2,mauve
410,268000,3,2.5,1550,8134,2,1991,98031,0,blush
411,517534,2,1,833,143947,1,2006,98070,3,purple
412,632925,3,2.5,2990,32239,2,1978,98077,3,purple
413,577500,3,2.5,2000,7251,2,1995,98034,3,purple
414,339000,4,1.5,2390,7480,1.5,1920,98178,0,blush
415,570000,3,1.75,2910,37461,1,1967,98052,3,purple
416,563500,4,1.75,2085,174240,1,1964,98024,3,purple
417,423000,4,2.25,2200,9351,1,1962,98133,3,purple
418,355000,3,2.25,1860,5028,2,2012,98019,0,blush
419,1550000,5,4.25,6070,171626,2,1999,98024,1,pink
420,482000,2,1,950,3960,1,1941,98103,3,purple
421,625000,3,1.75,1600,9135,1,1955,98006,3,purple
422,538000,3,2.5,2250,11632,2,1988,98056,3,purple
423,380000,3,2.5,2280,10255,2,1985,98058,0,blush
424,375000,2,1,940,5120,1,1909,98122,0,blush
425,245000,3,2.5,1530,8500,1,1996,98038,0,blush
426,310000,5,1.75,2190,27260,1,1947,98166,0,blush
427,1300000,3,2,2350,15021,1,1976,98004,1,pink
428,397000,4,2,1440,7680,1,1971,98034,0,blush
429,365000,3,2.5,2200,4052,2,2005,98058,0,blush
430,328500,4,3,2290,8250,2,1990,98042,0,blush
431,988000,4,3,4040,19700,2,1987,98052,2,mauve
432,1000000,4,2.5,2610,3277,1.5,1922,98103,2,mauve
433,237000,3,2.5,1490,2138,2,2005,98055,0,blush
434,525000,4,2.5,2450,5280,2,2003,98011,3,purple
435,749000,4,2.5,1710,9627,1,1976,98006,2,mauve
436,722500,5,2.5,4870,11800,2,1983,98074,2,mauve
437,843000,3,2.5,3130,8750,2,1991,98052,2,mauve
438,438000,2,2,1270,1372,3,2000,98115,3,purple
439,578000,3,1.75,2120,10875,1,1977,98146,3,purple
440,227950,3,1.5,1670,8230,1,1954,98001,0,blush
441,196000,3,2.25,2070,11576,2,1974,98001,0,blush
442,641000,2,1,1420,5332,1,1953,98105,3,purple
443,350000,3,1.5,1250,219978,1,1980,98038,0,blush
444,205000,3,1,940,7980,1,1960,98032,0,blush
445,400000,3,1.75,1920,9102,1,1968,98072,0,blush
446,1030000,3,2.5,3545,9816,1,2005,98027,2,mauve
447,505000,3,2,1260,5460,1,1972,98034,3,purple
448,475000,5,2.5,2340,7200,1,1975,98034,3,purple
449,520000,3,2.25,2590,9263,1,1977,98028,3,purple
450,1450000,3,4.5,3970,24920,2,1977,98034,1,pink
451,333500,3,1.75,1220,9732,1,1965,98011,0,blush
452,232000,3,1,1400,10403,1,1976,98038,0,blush
453,691100,3,2.75,2360,16117,1,1983,98006,2,mauve
454,811000,3,1.75,1870,9897,1,1960,98040,2,mauve
455,551000,3,2.5,2830,5802,2,2001,98028,3,purple
456,496500,3,2.5,2260,3640,2,1994,98072,3,purple
457,705000,3,3,1970,20978,2,1980,98070,2,mauve
458,578000,4,2.5,3140,9225,1,1966,98055,3,purple
459,255000,3,1.75,1240,8659,1,1986,98042,0,blush
460,1050000,4,3.5,3450,7832,2,2007,98006,2,mauve
461,348000,3,2.25,2570,8491,2,1989,98042,0,blush
462,230000,3,2,1510,3413,2,1985,98031,0,blush
463,359500,4,2.25,2390,11250,2,1988,98023,0,blush
464,330000,3,1,980,7000,1,1953,98133,0,blush
465,80000,1,0.75,430,5050,1,1912,98014,0,blush
466,465000,3,1.75,1480,6360,1,1954,98133,3,purple
